,individual.ID,Run,Species,Ambient_Nutrient,rate.type,E,Eh,lnc,Th,Topt,Topt,Pmax
64,G7_ND,2,Grac,Nutrient,Respiration,0.135420875,0.179931542,3.679793906,314.8678769,378.3732893,105.2232893,3.486345436
65,G7_NL,5,Grac,Nutrient,Net Photosynthesis,0.5628587,5.04228915,4.822314383,303.5312493,300.2990934,27.1490934,5.219036595
66,G8_AD,8,Grac,Ambient,Respiration,1.474585304,1.594918016,4.698570808,290.9015077,302.8324886,29.6824886,3.940235335
67,G8_AL,15,Grac,Ambient,Net Photosynthesis,0.122537225,6.58275201,5.163815414,307.2034399,302.3803765,29.2303765,5.289744545
68,G8_ND,2,Grac,Nutrient,Respiration,33.34087892,33.14664044,24.80385223,288.6335006,288.6335006,NA,NA
69,G9_AD,8,Grac,Ambient,Respiration,1.399884748,1.909662688,4.584469773,294.2598327,298.2618013,25.1118013,4.175442354
70,G9_AL,15,Grac,Ambient,Net Photosynthesis,0.063515633,6.065574684,5.252898732,306.7001781,300.7378956,27.5878956,5.304076956
71,G9_ND,2,Grac,Nutrient,Respiration,0.211953185,53.53489908,3.627472474,315.3114872,314.4290544,41.2790544,4.185426173
72,G9_NL,5,Grac,Nutrient,Net Photosynthesis,0.578514804,5.136999891,5.026800671,302.9346241,299.788825,26.638825,5.398695936
73,P1_AD,16,Pad,Ambient,Respiration,0.131998587,4.29306665,3.142878737,315.5945864,308.8412833,35.6912833,3.373484374
74,P1_AL,13,Pad,Ambient,Net Photosynthesis,0.118956301,6.720038453,5.495354945,306.9664917,302.1876564,29.0376564,5.615074406
75,P1_ND,6,Pad,Nutrient,Respiration,0.110107827,50.28373958,3.965667402,315.0107476,313.9728007,40.8228007,4.249484765
76,P1_NL,3,Pad,Nutrient,Net Photosynthesis,0.410898292,7.405271208,5.474339625,306.7811468,303.706972,30.556972,5.971392892
77,P10_AD,16,Pad,Ambient,Respiration,0.102663128,5.072550279,3.359504045,314.0488943,307.6783982,34.5283982,3.528127102
78,P10_AL,13,Pad,Ambient,Net Photosynthesis,0.087281675,5.638489993,4.618353722,307.0205238,301.1507802,28.0007802,4.692162563
79,P10_ND,6,Pad,Nutrient,Respiration,0.329509841,4.839516968,3.535517346,313.2488627,308.7417114,35.5917114,4.114632008
80,P10_NL,3,Pad,Nutrient,Net Photosynthesis,0.291515347,7.240212108,5.380884188,307.0908376,303.5711088,30.4211088,5.727943218
81,P2_AD,16,Pad,Ambient,Respiration,0.214982121,53.52009574,3.498115848,315.3526164,314.4720235,41.3220235,4.0651256
82,P2_AL,13,Pad,Ambient,Net Photosynthesis,0.152264641,6.41460993,5.211670403,306.8683028,302.2360564,29.0860564,5.36468579
83,P2_NL,3,Pad,Nutrient,Net Photosynthesis,0.341722072,7.609826096,5.473150272,307.5976508,304.3555379,31.2055379,5.915868732
84,P3_AD,16,Pad,Ambient,Respiration,0.185536437,4.393304494,3.451927458,315.5527192,309.5699646,36.4199646,3.793216694
85,P3_AL,13,Pad,Ambient,Net Photosynthesis,0.211670495,5.864717307,4.852960597,306.4954083,302.0259682,28.8759682,5.05665975
86,P3_ND,6,Pad,Nutrient,Respiration,0.165610877,3.57330197,3.877342493,314.7906436,307.7238286,34.5738286,4.135806636
87,P3_NL,3,Pad,Nutrient,Net Photosynthesis,0.259696634,7.16451674,5.461980692,307.0170383,303.341261,30.191261,5.763328487
88,P4_AD,16,Pad,Ambient,Respiration,0.097154273,6.554373919,3.109902716,315.8354233,310.424198,37.274198,3.306295121
89,P4_AL,13,Pad,Ambient,Net Photosynthesis,0.218424661,5.956111331,4.841064516,306.594378,302.2115846,29.0615846,5.056987306
90,P4_ND,6,Pad,Nutrient,Respiration,0.186654444,7.201599678,3.756925205,313.1267976,308.9277784,35.7777784,4.102879646
91,P4_NL,3,Pad,Nutrient,Net Photosynthesis,0.177005094,7.851619242,5.431430992,308.9688126,305.0681118,31.9181118,5.677505964
92,P5_AD,16,Pad,Ambient,Respiration,0.077413704,7.74905691,3.337035917,315.4206777,310.4147735,37.2647735,3.495295027
93,P5_AL,13,Pad,Ambient,Net Photosynthesis,0.211097249,6.390557732,5.210006648,306.6592965,302.4350905,29.2850905,5.427192254
94,P5_ND,6,Pad,Nutrient,Respiration,0.280165903,4.51297097,3.929927778,312.8026152,307.8091212,34.6591212,4.386290981
95,P6_AL,13,Pad,Ambient,Net Photosynthesis,0.144253878,6.411502989,5.031274613,307.1443195,302.4341459,29.2841459,5.179869719
96,P6_ND,6,Pad,Nutrient,Respiration,0.228705569,8.770199733,3.994792351,313.2037769,309.7517215,36.6017215,4.447284436
97,P6_NL,3,Pad,Nutrient,Net Photosynthesis,0.474121425,8.012904236,5.604312271,307.0371113,304.2570374,31.1070374,6.215463839
98,P7_AD,16,Pad,Ambient,Respiration,0.01708025,69.42226026,3.317687379,315.1440687,314.1226422,40.9726422,3.362108991
99,P7_AL,13,Pad,Ambient,Net Photosynthesis,0.249326683,6.556826157,5.010278739,306.9738392,303.0229825,29.8729825,5.286257401
100,P7_ND,6,Pad,Nutrient,Respiration,0.04454376,8.230537821,3.870280324,314.4462651,309.1383368,35.9883368,3.954819329
101,P7_NL,3,Pad,Nutrient,Net Photosynthesis,0.372797415,7.976799722,5.71525136,307.1706784,304.1265924,30.9765924,6.189792915
102,P8_AD,16,Pad,Ambient,Respiration,0.01345161,5.925701839,3.815592379,314.0227862,305.5292079,32.3792079,3.83452519
103,P8_ND,6,Pad,Nutrient,Respiration,0.080929429,56.00783996,3.982611811,315.0762079,314.0804021,40.9304021,4.192407671
104,P8_NL,3,Pad,Nutrient,Net Photosynthesis,0.265328094,7.600235933,5.550579124,307.3071863,303.7924417,30.6424417,5.875718793
105,P9_AD,16,Pad,Ambient,Respiration,5.284287942,5.405789562,7.262643166,288.7880455,293.8937358,20.7437358,3.853970653
106,P9_AL,13,Pad,Ambient,Net Photosynthesis,0.13488137,5.909866049,5.040099801,306.5884035,301.522761,28.372761,5.161591934
107,P9_ND,6,Pad,Nutrient,Respiration,0.21876322,9.497080377,3.970510965,312.6375405,309.3479574,36.1979574,4.394609053
108,U1_AD,1,Ulv,Ambient,Respiration,0.304568585,65.13154427,3.262455105,315.1092929,314.4064143,41.2564143,4.064417239
109,U1_ND,4,Ulv,Nutrient,Respiration,0.145884483,2.199691868,3.693270521,318.1146809,307.9617431,34.8117431,3.898377683
110,U1_NL,14,Ulv,Nutrient,Net Photosynthesis,0.107423875,14.5178011,6.21355803,311.3611306,308.5665277,35.4165277,6.41562632
111,U10_AD,1,Ulv,Ambient,Respiration,0.36504659,3.604403145,3.242797075,316.0935039,310.9616889,37.8116889,3.953630987
112,U10_AL,7,Ulv,Ambient,Net Photosynthesis,0.091250931,19.12405787,6.637873945,312.0969604,309.769823,36.619823,6.824372649
113,U10_ND,4,Ulv,Nutrient,Respiration,0.207742862,2.97E-08,3.818313482,307.9256638,307.9256638,NA,NA
114,U10_NL,14,Ulv,Nutrient,Net Photosynthesis,0.008475146,16.74174121,5.625393528,312.2895582,308.5252681,35.3752681,5.64137257
115,U2_AD,1,Ulv,Ambient,Respiration,0.506315365,3.990844717,3.242658472,315.0632376,310.9810753,37.8310753,4.242189078
116,U2_AL,7,Ulv,Ambient,Net Photosynthesis,0.176253799,18.09688887,6.388161121,311.9335927,309.8061149,36.6561149,6.748613176
117,U2_ND,4,Ulv,Nutrient,Respiration,0.197940173,4.45E-08,3.811436757,298.7879637,298.7879637,NA,NA
118,U2_NL,14,Ulv,Nutrient,Net Photosynthesis,0.069340893,12.5461735,5.802068768,311.1189269,307.703545,34.553545,5.924441957
119,U3_AD,1,Ulv,Ambient,Respiration,0.71173115,1.464377581,3.326041368,301.9160365,301.6164165,28.4664165,3.431860756
120,U3_AL,7,Ulv,Ambient,Net Photosynthesis,0.164253979,12.78801881,6.570418437,310.5194706,307.722843,34.572843,6.860883821
121,U3_ND,4,Ulv,Nutrient,Respiration,0,0.003835022,4.239885684,239.997273,239.997273,NA,NA
122,U4_AL,7,Ulv,Ambient,Net Photosynthesis,0.167329588,18.63786413,6.082967072,312.1745605,310.0686943,36.9186943,6.430747746
123,U4_ND,4,Ulv,Nutrient,Respiration,0.195353653,9.68E-09,3.669082597,301.3382583,301.3382583,NA,NA
124,U4_NL,14,Ulv,Nutrient,Net Photosynthesis,0.128303956,18.72342439,6.362927801,312.1103003,309.8944203,36.7444203,6.62693633
125,U5_AD,1,Ulv,Ambient,Respiration,0.378182179,57.84731751,3.185902209,315.2022363,314.460249,41.310249,4.183346828
126,U5_AL,7,Ulv,Ambient,Net Photosynthesis,0.070435952,20.72393016,6.833756555,312.2741476,309.986789,36.836789,6.979847228
127,U5_ND,4,Ulv,Nutrient,Respiration,0.18943947,5.65E-09,4.45817546,309.5465155,309.5465155,NA,NA
128,U5_NL,14,Ulv,Nutrient,Net Photosynthesis,0.07637246,15.57604483,6.673654636,311.413477,308.5879315,35.4379315,6.817878126
129,U6_AD,1,Ulv,Ambient,Respiration,0.291684558,56.31714755,3.664361153,315.2207571,314.4231165,41.2731165,4.432266069
130,U6_AL,7,Ulv,Ambient,Net Photosynthesis,0.285042697,4.922650379,6.64650171,308.7971589,304.2088675,31.0588675,6.989226642
131,U6_ND,4,Ulv,Nutrient,Respiration,0.160366218,52.47422962,3.861068674,314.8730566,313.93327,40.78327,4.273819455
132,U6_NL,14,Ulv,Nutrient,Net Photosynthesis,0.018139649,16.22697898,6.17589663,311.9002456,308.4277496,35.2777496,6.209846749
133,U7_AD,1,Ulv,Ambient,Respiration,0.361052438,57.19435174,3.125192841,315.0824123,314.3272982,41.1772982,4.071753628
134,U7_AL,7,Ulv,Ambient,Net Photosynthesis,0.061300158,18.49714032,6.24734505,312.3380704,309.7652318,36.6152318,6.37248985
135,U7_ND,4,Ulv,Nutrient,Respiration,0,23.57951358,3.325564532,314.9829228,314.9829228,NA,NA
136,U7_NL,14,Ulv,Nutrient,Net Photosynthesis,0.071915745,19.01293042,6.316747721,312.2447686,309.8003796,36.6503796,6.463974655
137,U8_AD,1,Ulv,Ambient,Respiration,0.526490879,69.31844199,2.79863431,315.1242998,314.5237414,41.3737414,4.192666791
138,U8_AL,7,Ulv,Ambient,Net Photosynthesis,0.143067633,17.76108505,6.023631933,312.0887245,309.8298741,36.6798741,6.316483307
139,U8_ND,4,Ulv,Nutrient,Respiration,29.20546216,29.01304389,18.94974347,289.2780588,289.2780588,NA,NA
140,U8_NL,14,Ulv,Nutrient,Net Photosynthesis,0.019649784,15.73823136,6.476663316,311.6378706,308.1223007,34.9723007,6.512669415
141,U9_AD,1,Ulv,Ambient,Respiration,0.327301033,57.05550433,3.701893787,315.2240319,314.4520192,41.3020192,4.564748371
142,U9_AL,7,Ulv,Ambient,Net Photosynthesis,0.054146834,17.83079548,6.604302493,311.9416377,309.2396759,36.0896759,6.711288237
143,U9_NL,14,Ulv,Nutrient,Net Photosynthesis,0.023300547,15.82029371,6.526411112,311.6242595,308.2126295,35.0626295,6.569371463
