"","ID","Intercept","umol.L.sec","Temp.C"
"780","G6_AL_16C_O2",349.752710101242,0.048075063841631,15.9585588235294
"781","G6_AL_20C_O2",277.285236984353,0.0581470839260311,19.8954821428571
"782","G6_AL_22C_O2",270.042091242863,0.060085568730786,21.9091785714286
"783","G6_AL_24C_O2",278.202165717642,0.0583017242189335,24.1402549019608
"784","G6_AL_26C_O2",267.73187083926,0.0589812233285917,26.1379074074074
"785","G6_AL_28C_O2",245.066688743246,0.0544099882546394,27.8659814814815
"786","G6_AL_30C_O2",250.908870553657,0.0385651264524949,29.8791139240506
"787","G6_AL_32C_O2",225.411531827957,0.0357713978494623,31.9158039215686
"788","G6_AL_34C_O2",213.014295973304,0.0306372117167223,33.9612280701754
"789","G6_AL_36C_O2",163.10098246941,-0.011724404894327,35.7429
"790","G6_AL_39C_O2",155.120278431373,-0.0278162464985994,39.1725714285714
"791","G6_AL_42C_O2",138.383611444286,-0.0288396472261735,42.2072447552448
"792","G6_ND_16C_O2",212.407938095238,-0.0119323828725038,15.9113484848485
"793","G6_ND_20C_O2",205.293368658009,-0.016621471861472,20.1883846153846
"794","G6_ND_22C_O2",222.035793536849,-0.0170643971631205,21.9032586206897
"795","G6_ND_24C_O2",213.577246232912,-0.0183621749408982,24.0173571428571
"796","G6_ND_26C_O2",189.911406455782,-0.0183729863945577,25.9357068965517
"797","G6_ND_28C_O2",178.157945015635,-0.019291263289556,28.1588035714286
"798","G6_ND_30C_O2",163.055325670498,-0.0195276409414339,30.1997358490566
"799","G6_ND_32C_O2",148.424683411198,-0.0189221208750465,31.9962083333333
"800","G6_ND_34C_O2",175.075316666667,-0.0253166666666674,33.8003846153846
"801","G6_ND_36C_O2",168.437421301248,-0.0278426470588235,36.1200487804878
"802","G6_ND_39C_O2",53.7560661988304,-0.0320767251461988,39.0079090909091
"803","G6_ND_42C_O2",91.7313941176471,-0.0091588235294117,43.2665185185185
"804","G6_NL_16C_O2",314.210006448554,0.033412470365102,16.2990975609756
"805","G6_NL_20C_O2",287.247122189967,0.0544348764960531,19.9086981132075
"806","G6_NL_22C_O2",262.351692809117,0.0715232592592591,21.968085106383
"807","G6_NL_24C_O2",252.082977077176,0.0850051888341545,24.0490925925926
"808","G6_NL_26C_O2",261.464844161304,0.0856247361647362,26.1442264150943
"809","G6_NL_28C_O2",248.031486946779,0.0783743977591035,27.9954375
"810","G6_NL_30C_O2",240.603557765542,0.0725754898643453,29.8663076923077
"811","G6_NL_32C_O2",209.868295400895,0.0611215710215709,32.1105098039216
"812","G6_NL_34C_O2",188.399648090815,0.0472160302717577,34.491
"813","G6_NL_36C_O2",161.229940606061,-0.00307696969696941,36.206
"814","G6_NL_39C_O2",123.615796568627,-0.0264730392156862,38.852
"815","G6_NL_42C_O2",112.135237619048,-0.0298507142857143,42.0055357142857
"816","G7_AL_16C_O2",308.04456502442,0.047610937118437,16.0392647058824
"817","G7_AL_20C_O2",235.004795873303,0.0569280180995474,20.02125
"818","G7_AL_22C_O2",238.597948642692,0.0677515669515669,22.1671607142857
