,individual.ID,Run,Species,Ambient_Nutrient,rate.type,E,Eh,lnc,Th,Topt,Estimate term value
23,C6_NL,12,Caul,Enriched,Net Photosynthesis,0.986719848,7.903776122,4.869995873,306.325365,304.3453505,
25,C7_AL,11,Caul,Ambient,Net Photosynthesis,0.965050862,2.624706293,5.069467937,303.3005041,301.6712803,
27,C7_NL,12,Caul,Enriched,Net Photosynthesis,0.812174728,6.202572598,4.355214462,306.57842,304.1259548,
28,C8_AD,9,Caul,Ambient,Respiration,0.674755734,58.15081332,3.320013446,315.2332526,314.5798753,
29,C8_AL,11,Caul,Ambient,Net Photosynthesis,0.724384435,6.778304696,5.091132027,306.5415854,304.0252779,
31,C8_NL,12,Caul,Enriched,Net Photosynthesis,0.738779527,7.379492049,4.588125005,306.7887199,304.3932945,
32,C9_AD,9,Caul,Ambient,Respiration,0.617397513,56.232228,3.306497389,315.2266909,314.5426158,
33,C9_AL,11,Caul,Ambient,Net Photosynthesis,0.673735553,5.639798033,5.050359192,304.0462626,301.2498148,
35,C9_NL,12,Caul,Enriched,Net Photosynthesis,0.765099641,6.906066207,4.676396857,306.0253559,303.6099882,
36,G10_AD,8,Grac,Ambient,Respiration,1.018801463,1.338840749,3.38148179,297.0313094,303.7578782,
37,G10_AL,15,Grac,Ambient,Net Photosynthesis,0.124779776,5.612676034,5.003789994,306.2307511,300.8765237,
38,G10_ND,2,Grac,Enriched,Respiration,0.182239243,52.62177343,3.572325279,315.421457,314.5013618,
39,G10_NL,5,Grac,Enriched,Net Photosynthesis,0.713421632,5.290437556,4.875817556,302.9393082,300.1852259,
40,G1_AD,8,Grac,Ambient,Respiration,1.176542691,1.538648937,4.119854985,295.8929692,301.7881411,
41,G1_AL,15,Grac,Ambient,Net Photosynthesis,0.090113535,6.349170253,5.435632759,306.7170029,301.3946616,
42,G1_ND,2,Grac,Enriched,Respiration,0.187407821,52.2269425,3.685037869,314.8846879,313.966601,
43,G1_NL,5,Grac,Enriched,Net Photosynthesis,0.613377741,5.342370313,4.929490527,303.3367194,300.3343614,
44,G2_AD,8,Grac,Ambient,Respiration,0.945617924,1.247112195,3.837022997,296.0579373,303.1490463,
45,G2_AL,15,Grac,Ambient,Net Photosynthesis,0.36313844,6.852721835,4.991137532,306.9612129,303.5815513,
46,G2_NL,5,Grac,Enriched,Net Photosynthesis,0.751189336,5.398625543,4.767524274,303.2136982,300.5618201,
47,G3_AD,8,Grac,Ambient,Respiration,1.218384555,1.482679647,4.34951331,293.3671302,301.2183519,
48,G3_AL,15,Grac,Ambient,Net Photosynthesis,0.229103766,6.040249156,4.822806413,306.6905321,302.4109236,
49,G3_ND,2,Grac,Enriched,Respiration,0.193212754,50.1081856,3.589212344,315.5282222,314.579813,
50,G3_NL,5,Grac,Enriched,Net Photosynthesis,0.336586599,6.502262679,5.02462595,306.6335084,303.0512447,
51,G4_AD,8,Grac,Ambient,Respiration,1.074733107,1.492866329,4.34687333,295.4891534,300.3264887,
53,G4_NL,5,Grac,Enriched,Net Photosynthesis,0.719210403,5.092057994,4.49603019,303.126331,300.3444522,
54,G5_AD,8,Grac,Ambient,Respiration,1.258642815,1.531072373,4.562930535,294.1375514,301.7859155,
55,G5_AL,15,Grac,Ambient,Net Photosynthesis,0.273923984,4.8551344,5.172388722,303.380923,298.8466347,
